Sample,nc82 Intensity,5HT Intensity,Normalized 5HT intensity,Region,Starvation
F1,324.345,150.933,0.4653470841,VNC,Fed
F2,532.432,317.598,0.5965043423,VNC,Fed
F3,452.649,354.118,0.7823236106,VNC,Fed
F4,509.532,412.707,0.8099726808,VNC,Fed
S1,432.221,409.904,0.948366692,VNC,Starved
S2,224.65,412.711,1.837128867,VNC,Starved
S3,296.736,293.081,0.9876826539,VNC,Starved
S4,249.923,393.336,1.573828739,VNC,Starved
F1,530.305,397.621,0.749796815,Brain,Fed
F2,442.3,233.438,0.5277820484,Brain,Fed
F3,424.769,341.116,0.8030623704,Brain,Fed
F4,341.628,275.794,0.8072933132,Brain,Fed
S1,225.868,390.779,1.730121133,Brain,Starved
S2,307.039,389.216,1.267643524,Brain,Starved
S3,218.603,330.791,1.513204302,Brain,Starved
S4,288.796,360.211,1.247285281,Brain,Starved